,hashtag,retweeter,UsM_deltaDays,UsM_statusesCount,UsM_followersCount,UsM_favouritesCount,UsM_listedCount,UsM_friendscCount,UsM_normalizedUserStatusesCount,UsM_normalizedUserFollowersCount,UsM_normalizedUserFavouritesCount,UsM_normalizedUserListedCount,UsM_normalizedUserFriendsCount,is_verified,is_default,has_url,tweets_num,retweet_num,reply_num,norm_tweets,norm_retweet,norm_reply,is_followed,interaction,frequency,r_interaction,r_frequency
38869114,#EnoughIsEnough,278040682,4849,31230,19066,9044,255,2516,6.440503196535367,3.931944730872345,1.8651268302742836,0.05258816250773355,0.5188698700763044,0,0,1,154.0,656.0,190.0,2.566666666666667,10.933333333333334,3.1666666666666665,0.0,0.0,0.0,3.0,0.004464285714285714
28343777,#EnoughIsEnough,3344564308,4886,69245,2583,23918,46,1976,14.172124437167414,0.5286532951289399,4.895210806385592,0.009414654113794515,0.4044207941056079,0,0,0,8.0,749.0,243.0,0.08,7.49,2.43,1.0,0.0,0.0,0.0,0.0
800096529037991937,#EnoughIsEnough,342894881,2098,13579,1382,60864,7,1392,6.472354623450905,0.6587225929456625,29.01048617731173,0.003336510962821735,0.663489037178265,0,1,0,89.0,268.0,643.0,2.6176470588235294,7.882352941176471,18.91176470588235,1.0,0.0,0.0,2.0,0.008064516129032258
310811114,#EnoughIsEnough,168428519,4093,108895,33436,79285,243,479,26.605179574883948,8.169069142438309,19.370877107256288,0.0593696555094063,0.11702907402882973,0,1,1,25.0,858.0,117.0,0.8620689655172413,29.586206896551722,4.0344827586206895,0.0,0.0,0.0,0.0,0.0
2959314759,#EnoughIsEnough,1348217168882753537,2783,35781,1135,105417,2,1580,12.85698886094143,0.4078332734459217,37.878907653611215,0.0007186489399928135,0.5677326625943226,0,1,0,0.0,1000.0,0.0,0.0,22.727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
878406853109182464,#EnoughIsEnough,1164299870376812547,1881,10506,20411,33280,82,2572,5.585326953748005,10.851143009037745,17.69271664008506,0.04359383306751728,1.3673577884104198,1,0,1,134.0,403.0,463.0,2.9130434782608696,8.76086956521739,10.065217391304348,1.0,0.0,0.0,7.0,0.00875
1195446685,#EnoughIsEnough,20722055,3467,21753,8506,17240,115,5165,6.274300548024229,2.4534179405826357,4.972598788578021,0.03316988751081626,1.4897605999423131,0,0,1,88.0,558.0,354.0,1.353846153846154,8.584615384615384,5.446153846153846,1.0,0.0,0.0,0.0,0.0
1909347560,#EnoughIsEnough,1381167525430505476,3248,40275,13788,318315,31,11980,12.39993842364532,4.245073891625616,98.0033866995074,0.009544334975369459,3.6884236453201966,0,0,0,17.0,143.0,840.0,1.3076923076923077,11.0,64.61538461538461,1.0,0.0,0.0,2.0,0.18181818181818182
845368263097901056,#EnoughIsEnough,842537763295674368,1973,40178,4016,479004,0,4991,20.36391282311201,2.035478966041561,242.7795235681703,0.0,2.5296502787633046,0,1,0,8.0,428.0,564.0,0.4,21.4,28.2,1.0,0.0,0.0,2.0,0.09523809523809523
24446058,#EnoughIsEnough,2828658944,4904,185354,14242,267895,0,1816,37.796492659053825,2.9041598694942903,54.62785481239804,0.0,0.3703099510603589,0,0,0,130.0,86.0,784.0,18.571428571428573,12.285714285714286,112.0,0.0,0.0,0.0,4.0,0.037037037037037035
964288058,#EnoughIsEnough,231542043,3556,6057,1205,13010,5,2207,1.7033183352080992,0.3388638920134983,3.6586051743532058,0.00140607424071991,0.6206411698537683,0,0,0,29.0,811.0,160.0,0.034360189573459717,0.9609004739336493,0.1895734597156398,1.0,0.0,0.0,0.0,0.0
101551215,#EnoughIsEnough,1338887677,4610,95680,2230,99087,18,2527,20.754880694143168,0.4837310195227766,21.493926247288503,0.0039045553145336228,0.5481561822125813,0,0,0,7.0,908.0,85.0,0.3333333333333333,43.23809523809524,4.0476190476190474,1.0,0.0,0.0,0.0,0.0
1019621293,#EnoughIsEnough,397187503,3530,3858,4559,14362,5,4839,1.0929178470254957,1.291501416430595,4.068555240793201,0.00141643059490085,1.3708215297450426,0,0,0,21.0,953.0,26.0,0.11290322580645161,5.123655913978495,0.13978494623655913,1.0,0.0,0.0,0.0,0.0
1378779894419763207,#EnoughIsEnough,839942015966146560,501,14693,859,13988,1,3397,29.327345309381236,1.7145708582834331,27.92015968063872,0.001996007984031936,6.780439121756487,0,1,0,3.0,954.0,43.0,0.3,95.4,4.3,1.0,1.0,0.1,0.0,0.0
815172417421275136,#EnoughIsEnough,406382621,2056,12925,4760,56644,4,5005,6.28647859922179,2.315175097276265,27.550583657587552,0.0019455252918287934,2.4343385214007784,0,1,1,121.0,730.0,149.0,0.4129692832764505,2.491467576791809,0.5085324232081911,1.0,0.0,0.0,0.0,0.0
1314511501,#EnoughIsEnough,717009362678595584,3429,79774,37738,189698,102,13208,23.264508603091283,11.005540974044909,55.32166812481773,0.02974628171478565,3.851851851851852,0,1,0,150.0,671.0,179.0,4.285714285714286,19.17142857142857,5.114285714285714,0.0,0.0,0.0,2.0,0.014492753623188406
1121375429884039175,#EnoughIsEnough,1471967995903815683,1211,6939,41437,4913,144,592,5.7299752270850535,34.21717588769612,4.056977704376549,0.11890999174236168,0.4888521882741536,1,1,1,484.0,489.0,27.0,1.9836065573770492,2.0040983606557377,0.11065573770491803,0.0,0.0,0.0,4.0,0.016194331983805668
568143078,#EnoughIsEnough,1002088457441828864,3761,80057,115161,29556,637,2750,21.28609412390322,30.619781972879554,7.858548258441903,0.16936984844456265,0.7311885136931667,1,0,0,138.0,448.0,414.0,1.943661971830986,6.309859154929577,5.830985915492958,0.0,0.0,0.0,0.0,0.0
3379022033,#EnoughIsEnough,20056900,2590,147448,2947,156259,36,3073,56.92972972972973,1.1378378378378378,60.33166023166022,0.0138996138996139,1.1864864864864866,0,0,1,3.0,900.0,97.0,0.3,90.0,9.7,1.0,0.0,0.0,0.0,0.0
988433413303603201,#EnoughIsEnough,1435553820382269441,1578,13493,33556,16945,124,2127,8.550697084917617,21.264892268694553,10.738276299112801,0.07858048162230671,1.3479087452471483,0,0,1,875.0,84.0,41.0,4.915730337078652,0.47191011235955055,0.2303370786516854,1.0,1.0,0.0056179775280898875,48.0,0.5517241379310345
872844815939112960,#EnoughIsEnough,1461851567930417155,1897,19276,626,32599,2,628,10.161307327358989,0.3299947285187137,17.18450184501845,0.0010542962572482866,0.33104902477596204,0,1,0,32.0,223.0,745.0,0.5614035087719298,3.912280701754386,13.070175438596491,1.0,0.0,0.0,0.0,0.0
798231301602115584,#EnoughIsEnough,131768812,2103,31507,18909,39744,69,745,14.98193057536852,8.991440798858774,18.898716119828816,0.032810271041369465,0.3542558250118878,0,0,0,32.0,457.0,511.0,1.5238095238095237,21.761904761904763,24.333333333333332,0.0,0.0,0.0,1.0,0.0005091649694501018
925500296742211585,#EnoughIsEnough,710569826549440512,1751,166858,3525,114960,6,2470,95.29297544260423,2.0131353512278696,65.65391205025699,0.003426613363792118,1.4106225014277556,0,1,0,5.0,754.0,241.0,0.625,94.25,30.125,1.0,0.0,0.0,13.0,0.055793991416309016
1346072194800111619,#EnoughIsEnough,1243569195914313729,591,3126,148,1549,0,78,5.289340101522843,0.25042301184433163,2.620981387478849,0.0,0.1319796954314721,0,1,0,477.0,347.0,176.0,5.888888888888889,4.283950617283951,2.1728395061728394,1.0,2.0,0.024691358024691357,1.0,0.006666666666666667
