,hashtag,UsM_deltaDays,UsM_statusesCount,UsM_followersCount,UsM_favouritesCount,UsM_listedCount,UsM_friendscCount,UsM_normalizedUserStatusesCount,UsM_normalizedUserFollowersCount,UsM_normalizedUserFavouritesCount,UsM_normalizedUserListedCount,UsM_normalizedUserFriendsCount,is_verified,is_default,has_url,tweets_num,retweet_num,reply_num,norm_tweets,norm_retweet,norm_reply
2846809907,#EnergyPrices,2852,65444,18376,51139,212,17554,22.946704067321182,6.443197755960728,17.93092566619916,0.07433380084151472,6.154978962131838,0,0,1,123.0,595.0,282.0,3.236842105263158,15.657894736842104,7.421052631578948
1137419685987852289,#EnergyPrices,1167,4752,383,11829,0,1579,4.071979434447301,0.3281919451585261,10.136246786632393,0.0,1.3530419880034277,0,1,0,40.0,359.0,601.0,0.0814663951120163,0.7311608961303462,1.2240325865580448
603104363,#EnergyPrices,3722,21794,2720,25689,41,2086,5.855454056958624,0.7307898979043524,6.901934443847394,0.011015583019881784,0.5604513702310586,0,0,0,147.0,638.0,215.0,0.9363057324840764,4.063694267515924,1.3694267515923566
1280085960827514880,#EnergyPrices,773,829,120,532,0,156,1.0724450194049158,0.15523932729624834,0.6882276843467011,0.0,0.2018111254851229,0,1,1,196.0,539.0,92.0,0.25620915032679736,0.7045751633986929,0.12026143790849673
19157964,#EnergyPrices,4959,27280,2021,18187,113,2067,5.5011090945755186,0.40754184311353103,3.667473280903408,0.022786852187941117,0.4168179068360556,0,0,1,157.0,698.0,145.0,0.9075144508670521,4.034682080924855,0.838150289017341
772011184736395264,#EnergyPrices,2175,97,15,118,0,52,0.04459770114942529,0.006896551724137931,0.05425287356321839,0.0,0.023908045977011492,0,1,0,20.0,29.0,63.0,0.01813236627379873,0.02629193109700816,0.057116953762466005
2926698772,#EnergyPrices,2801,35559,3935,58892,72,4514,12.695108889682254,1.4048554087825778,21.025348089967867,0.02570510531952874,1.611567297393788,0,0,1,132.0,840.0,28.0,0.515625,3.28125,0.109375
1028270611146203136,#EnergyPrices,1468,70990,4462,53500,12,4804,48.358310626702995,3.0395095367847413,36.444141689373296,0.008174386920980926,3.2724795640326976,0,0,1,6.0,830.0,164.0,0.2857142857142857,39.523809523809526,7.809523809523809
23580120,#EnergyPrices,4909,5444,2860,6849,84,927,1.1089834996944388,0.5826033815441026,1.395192503564881,0.01711142798940721,0.18883683031167245,0,0,1,211.0,714.0,75.0,0.41699604743083,1.4110671936758894,0.1482213438735178
4343104335,#EnergyPrices,2452,16608,74,19656,3,90,6.773246329526918,0.030179445350734094,8.0163132137031,0.0012234910277324632,0.0367047308319739,0,1,0,8.0,902.0,90.0,0.18181818181818182,20.5,2.0454545454545454
1521878611636199424,#EnergyPrices,106,1136,313,21434,0,1262,10.716981132075473,2.952830188679245,202.20754716981133,0.0,11.905660377358492,0,1,0,115.0,756.0,129.0,2.1296296296296298,14.0,2.388888888888889
22476860,#EnergyPrices,4917,27710,3554,100094,6,5002,5.635550132194427,0.7227984543420785,20.356721578198083,0.0012202562538133007,1.0172869635956885,0,1,0,362.0,447.0,191.0,2.445945945945946,3.02027027027027,1.2905405405405406
1224083653287870464,#EnergyPrices,927,88639,391,107433,0,160,95.61920172599785,0.42179072276159657,115.89320388349516,0.0,0.1725997842502697,0,1,0,0.0,1000.0,0.0,0.0,111.11111111111111,0.0
1446487541474107397,#EnergyPrices,314,5751,304,17056,1,3724,18.31528662420382,0.9681528662420382,54.31847133757961,0.0031847133757961785,11.859872611464967,0,1,1,64.0,818.0,118.0,1.5238095238095237,19.476190476190474,2.8095238095238093
235248863,#EnergyPrices,4241,122617,3567,116268,52,5001,28.912284838481487,0.8410752181089366,27.41523225654327,0.012261259136995993,1.1792030181560953,0,0,0,51.0,812.0,137.0,4.25,67.66666666666667,11.416666666666666
718189636036726785,#EnergyPrices,2323,20950,1626,35567,3,3161,9.018510546706842,0.6999569522169609,15.310804993542831,0.0012914334911752045,1.3607404218682737,0,1,0,60.0,851.0,89.0,2.2222222222222223,31.51851851851852,3.2962962962962963
3067594463,#EnergyPrices,2725,16711,3087,15496,118,4073,6.1324770642201845,1.1328440366972476,5.686605504587157,0.04330275229357798,1.4946788990825688,0,1,0,229.0,424.0,347.0,1.440251572327044,2.6666666666666665,2.1823899371069184
98685969,#EnergyPrices,4622,94902,2232,930,102,3918,20.532669839896148,0.4829078321073129,0.2012115967113804,0.02206836867157075,0.8476849848550411,0,0,0,12.0,968.0,20.0,0.3870967741935484,31.225806451612904,0.6451612903225806
322520426,#EnergyPrices,4074,112623,587,11991,55,194,27.644329896907216,0.14408443789887088,2.9432989690721647,0.013500245459008344,0.047619047619047616,0,0,0,0.0,998.0,2.0,0.0,71.28571428571429,0.14285714285714285
1072930777137065984,#EnergyPrices,1345,46574,262,27534,2,734,34.6275092936803,0.19479553903345725,20.471375464684016,0.0014869888475836429,0.5457249070631971,0,1,0,0.0,903.0,97.0,0.0,20.522727272727273,2.2045454545454546
1086397159480676352,#EnergyPrices,1307,121733,3997,207703,2,4994,93.13925019127774,3.0581484315225707,158.9158377964805,0.001530221882172915,3.8209640397857685,0,1,0,0.0,997.0,3.0,0.0,83.08333333333333,0.25
956091655114895361,#EnergyPrices,1667,123285,5241,116846,8,5760,73.95620875824835,3.1439712057588483,70.09358128374325,0.004799040191961607,3.4553089382123576,0,1,0,11.0,973.0,16.0,0.4583333333333333,40.541666666666664,0.6666666666666666
1181901903120273410,#EnergyPrices,1044,34938,983,57445,7,1846,33.46551724137931,0.9415708812260536,55.023946360153246,0.0067049808429118785,1.7681992337164751,0,1,0,16.0,975.0,9.0,1.7777777777777777,108.33333333333333,1.0
703626110,#EnergyPrices,3683,102803,3532,85299,43,4402,27.912842791202827,0.9590008145533532,23.160195492804775,0.011675264729839804,1.1952212869942982,0,0,0,20.0,866.0,114.0,0.5405405405405406,23.405405405405407,3.081081081081081
81397817,#EnergyPrices,4695,67421,614,111544,113,180,14.360170394036206,0.13077742279020235,23.7580404685836,0.02406815761448349,0.038338658146964855,0,0,1,24.0,962.0,14.0,0.631578947368421,25.31578947368421,0.3684210526315789
953549706835234816,#EnergyPrices,1674,3996,1903,33620,0,3304,2.3870967741935485,1.1367980884109916,20.083632019115893,0.0,1.973715651135006,0,1,0,22.0,845.0,133.0,0.22916666666666666,8.802083333333334,1.3854166666666667
771018753702322176,#EnergyPrices,2178,30423,773,33734,7,76,13.968319559228652,0.3549127640036731,15.488521579430671,0.003213957759412305,0.03489439853076217,0,1,0,15.0,937.0,48.0,0.25862068965517243,16.155172413793103,0.8275862068965517
829698343962079232,#EnergyPrices,2016,9500,707,26731,6,2066,4.712301587301587,0.3506944444444444,13.259424603174605,0.002976190476190476,1.0248015873015872,0,0,0,122.0,855.0,23.0,0.8840579710144928,6.195652173913044,0.16666666666666666
1062789506393432065,#EnergyPrices,1373,4819,2117,39072,1,1988,3.5098324836125268,1.541879096868172,28.457392571012377,0.0007283321194464676,1.4479242534595775,0,0,0,15.0,983.0,2.0,0.049342105263157895,3.2335526315789473,0.006578947368421052
486000852,#EnergyPrices,3845,4999,102,8438,1,387,1.3001300390117034,0.026527958387516256,2.1945383615084526,0.00026007802340702205,0.10065019505851756,0,1,1,56.0,497.0,447.0,0.6292134831460674,5.584269662921348,5.022471910112359
2284145316,#EnergyPrices,3142,2999,581,8435,1,639,0.9544875875238702,0.1849140674729472,2.684595798854233,0.0003182686187141948,0.20337364735837046,0,1,0,78.0,428.0,494.0,0.43333333333333335,2.3777777777777778,2.7444444444444445
1550207950026833921,#EnergyPrices,28,500,1826,280,2,1486,17.857142857142858,65.21428571428571,10.0,0.07142857142857142,53.07142857142857,0,1,0,80.0,293.0,6.0,11.428571428571429,41.857142857142854,0.8571428571428571
1235355835175514112,#EnergyPrices,896,1174,160,996,1,838,1.3102678571428572,0.17857142857142858,1.1116071428571428,0.0011160714285714283,0.9352678571428572,0,1,0,68.0,473.0,459.0,0.08173076923076923,0.5685096153846154,0.5516826923076923
1108234224664903681,#EnergyPrices,1247,201302,1442,285019,4,1013,161.4290296712109,1.156375300721732,228.5637530072173,0.0032076984763432237,0.8123496391339214,0,1,0,1.0,979.0,20.0,0.16666666666666666,163.16666666666666,3.3333333333333335
19410905,#EnergyPrices,4955,17956,2266,12259,0,1700,3.6238143289606457,0.4573158425832493,2.474066599394551,0.0,0.343087790110999,0,0,1,117.0,720.0,163.0,0.3774193548387097,2.3225806451612905,0.5258064516129032
252997533,#EnergyPrices,4201,428358,16699,309035,387,18045,101.96572244703644,3.975005950964056,73.56224708402762,0.09212092358962153,4.295405855748632,0,0,1,39.0,959.0,2.0,4.875,119.875,0.25
72037233,#EnergyPrices,4729,50334,1791,7891,52,2784,10.64368788327342,0.3787270035948404,1.6686403045041236,0.010995982237259463,0.588707972087122,0,1,0,2.0,997.0,1.0,0.10526315789473684,52.473684210526315,0.05263157894736842
2843630307,#EnergyPrices,2854,16340,12084,5656,210,1584,5.7252978276103725,4.234057463209529,1.9817799579537487,0.07358093903293624,0.555010511562719,0,1,1,270.0,632.0,98.0,0.5793991416309013,1.3562231759656653,0.21030042918454936
1447565232042303492,#EnergyPrices,311,1497,182,2351,0,584,4.813504823151125,0.5852090032154341,7.559485530546623,0.0,1.8778135048231512,0,1,0,3.0,991.0,6.0,0.016483516483516484,5.445054945054945,0.03296703296703297
1141444578408652805,#EnergyPrices,1155,28691,1564,73299,4,5008,24.84069264069264,1.3541125541125538,63.46233766233765,0.0034632034632034628,4.335930735930736,0,1,0,13.0,956.0,31.0,0.7647058823529411,56.23529411764706,1.8235294117647058
341999177,#EnergyPrices,4042,8044,350,8931,2,2012,1.9901039089559625,0.08659079663532905,2.2095497278574965,0.0004948045522018803,0.4977733795150915,0,0,0,11.0,974.0,15.0,0.4074074074074074,36.074074074074076,0.5555555555555556
375854213,#EnergyPrices,3986,148225,16911,47359,539,15481,37.1864024084295,4.242599096838936,11.881334671349725,0.1352232814851982,3.883843452082288,0,0,0,222.0,746.0,32.0,8.538461538461538,28.692307692307693,1.2307692307692308
827254653389676545,#EnergyPrices,2022,13141,2146,125081,10,4411,6.499010880316519,1.0613254203758655,61.86003956478734,0.004945598417408506,2.1815034619188918,0,0,0,5.0,943.0,52.0,0.09803921568627451,18.49019607843137,1.0196078431372548
1263050943551229952,#EnergyPrices,820,9369,2354,147732,0,3710,11.42560975609756,2.8707317073170735,180.1609756097561,0.0,4.524390243902438,0,1,0,0.0,999.0,1.0,0.0,83.25,0.08333333333333333
